id,company_count,country_count
19995,4,2
285,3,1
206647,3,2
49026,4,1
49529,1,1
559,3,1
38757,2,1
99861,3,1
767,2,2
209112,6,1
1452,4,1
10764,1,2
58,3,4
57201,6,1
49521,5,2
2454,7,4
24428,2,1
1865,3,1
41154,5,1
122917,5,2
1930,3,1
20662,4,2
57158,4,2
2268,4,2
254,4,3
597,3,1
271110,5,1
44833,4,1
135397,5,1
37724,1,2
558,3,1
68721,1,2
12155,5,1
36668,11,3
62211,2,1
8373,7,1
91314,8,1
68728,2,1
102382,4,1
20526,6,1
49013,2,1
44912,3,1
10193,2,1
534,4,4
168259,10,2
72190,7,2
127585,7,2
54138,4,1
81005,6,1
64682,6,2
9543,2,1
68726,4,2
38356,4,1
217,2,1
105864,2,1
62177,2,1
188927,7,1
10681,3,1
5174,1,1
14161,4,2
17979,2,1
76757,4,1
258489,7,3
411,2,2
246655,6,1
155,5,2
14160,1,1
15512,1,1
1726,1,1
44826,3,3
8487,4,1
1735,5,2
297761,5,1
2698,7,1
137113,6,2
9804,4,1
14869,5,2
150540,2,1
278927,4,2
10138,1,1
58595,2,1
102651,3,1
119450,3,1
79698,7,3
64686,5,1
100402,1,1
10192,1,1
158852,3,1
177572,2,1
82690,1,1
5255,3,1
47933,4,1
10191,3,1
296,6,3
118340,4,2
157336,5,3
27205,3,2
315011,2,1
49051,4,2
9799,4,2
4922,3,1
49538,9,1
131634,3,2
27022,5,1
503,6,1
241259,5,2
810,2,1
68735,4,4
87101,3,1
10140,3,1
676,2,1
1858,9,1
1966,8,6
675,2,2
674,3,2
8960,7,1
6479,6,1
118,6,3
2062,2,1
272,6,2
10527,1,1
18360,6,2
2080,8,1
605,4,2
109445,2,1
604,5,2
76338,1,1
76341,3,2
13448,4,2
10195,1,1
13053,1,1
19585,3,1
57165,5,2
62213,7,2
177677,7,2
7978,3,1
5559,3,1
49444,1,1
10196,5,1
956,7,3
117251,4,1
50321,1,1
11619,2,2
266647,4,1
82703,4,1
652,6,3
80321,1,1
36669,1,2
43074,7,1
95,3,1
608,4,1
2310,4,1
140300,4,2
56292,6,3
81188,1,1
7552,3,1
616,4,3
147441,4,3
13475,4,2
557,2,1
82702,2,1
205584,5,2
10048,5,1
13183,6,1
944,3,1
1927,4,1
72559,6,1
7364,10,4
2114,3,2
1771,1,1
36643,2,2
8619,4,1
50620,3,1
65759,4,1
1724,4,1
267935,5,2
281957,9,4
77950,1,1
44896,5,1
270946,1,1
2503,5,2
9502,1,1
102899,1,1
101299,2,1
228161,2,1
74,4,1
8961,2,1
417859,1,1
27576,4,1
86834,4,1
17578,7,2
673,3,2
6972,5,3
82700,3,1
10567,2,1
181533,5,2
38055,1,1
671,3,2
49524,3,1
22,2,1
131631,2,1
591,4,4
172385,2,1
36658,6,1
51497,3,1
58574,5,1
18823,5,1
861,3,1
1911,1,1
49040,5,1
415,2,2
8871,2,2
435,5,1
955,3,2
2133,3,1
1979,7,3
87827,6,3
1250,7,2
324668,5,3
9471,4,1
70981,4,2
10996,2,1
68724,7,1
2789,2,1
97020,3,2
7459,6,3
42888,3,1
37834,5,1
75612,5,1
1895,1,1
1894,1,1
585,2,1
76170,6,2
1893,1,1
49519,1,1
2395,12,5
12100,2,1
290595,3,1
98566,3,1
49047,3,2
9619,2,1
308531,5,3
166424,7,1
1593,4,2
254128,4,3
714,1,2
2024,4,2
163,5,1
787,5,1
262500,4,1
2567,8,1
38745,4,1
40805,3,1
53182,6,1
41513,3,1
13700,1,1
262504,4,1
39254,9,2
77931,5,1
1639,2,1
80274,6,1
1571,5,2
120,3,2
10204,7,4
8489,1,1
10588,3,1
2048,6,2
1495,10,5
10137,3,2
10198,2,1
286217,6,1
1635,3,1
24113,1,0
9679,2,1
98,7,2
180,7,1
672,3,3
36557,3,5
869,3,1
280,5,2
11322,7,1
4982,5,2
36955,2,1
18487,5,1
39451,6,1
27581,2,1
9268,2,2
68718,2,1
10545,1,1
11688,2,1
76163,2,1
2059,4,1
2486,7,3
16523,5,1
116711,2,1
37710,11,4
9946,1,1
1372,7,2
106646,5,1
414,2,2
563,3,1
83542,8,4
41216,4,2
314,6,1
184315,4,1
9016,2,1
18162,4,1
138103,6,2
257088,4,3
10214,2,2
205775,8,1
11692,4,2
22972,5,4
227973,2,1
29193,4,1
1734,3,1
3131,3,2
76758,3,2
9408,2,1
9890,3,1
855,3,2
77953,4,1
18,2,1
37786,4,1
10501,2,1
57800,2,1
150689,4,2
7980,6,3
12,1,1
122,2,2
121,3,2
68737,6,4
1995,7,1
157353,4,3
331,2,1
61791,7,1
8204,2,1
47964,9,1
10733,2,1
9806,2,1
1408,4,4
32657,8,2
607,3,1
863,1,1
44048,5,1
5175,1,1
2655,3,1
22794,2,1
8355,2,1
116745,8,1
4327,1,1
1422,5,2
10674,2,1
7446,4,3
65754,6,3
1572,2,1
10528,5,3
271969,4,1
10865,2,1
258509,5,1
2253,4,2
10661,4,1
257344,2,1
644,4,1
10756,3,1
686,2,1
9383,2,2
179,6,4
76285,6,1
1996,7,4
291805,4,4
10003,3,1
1535,6,2
2067,4,1
46195,2,1
2277,5,2
10357,1,1
4477,1,1
8665,6,4
9387,2,1
921,5,1
49852,4,2
4464,5,1
664,4,1
8358,4,1
9836,2,1
2502,5,2
9772,3,2
161,6,1
52451,5,4
76492,2,1
4523,4,1
59961,4,1
10481,2,1
59108,4,1
1581,4,2
9798,4,1
22897,5,1
298,4,1
7484,1,1
157350,2,1
853,8,4
10159,6,1
9593,2,1
1904,4,1
9615,1,2
51052,3,1
297,2,1
9884,4,1
16858,2,1
62764,6,1
22538,2,2
9341,6,3
12107,2,1
9637,3,1
49049,5,4
9339,4,1
16281,3,1
39691,1,2
8247,3,2
11253,6,2
1949,3,1
8452,1,1
310,4,1
27578,1,1
954,2,1
70160,2,1
45243,4,1
364,2,2
7518,2,1
11544,2,1
9986,2,2
8656,4,1
146216,4,3
9291,5,1
55301,1,1
109418,3,1
11665,8,3
6964,3,1
11324,4,1
12193,5,1
9928,2,1
754,6,1
10202,3,1
4147,3,1
50546,2,1
1701,5,1
13027,4,2
2289,5,4
20504,2,1
9574,2,1
11618,2,1
2300,3,1
12096,5,1
10200,5,2
8834,3,1
228150,6,3
6068,4,1
41515,5,2
9023,2,1
38317,7,1
2157,4,1
14462,3,1
161795,3,1
159824,2,1
49948,1,1
2135,2,1
9822,2,1
9705,5,2
1656,2,2
12159,1,2
9678,3,1
4442,8,3
75,1,1
330770,15,3
9433,1,1
19959,4,1
11973,2,1
11228,2,1
77951,7,4
5491,5,1
10715,6,2
10197,2,2
9562,5,1
9922,2,1
9447,1,1
274854,7,1
8870,5,2
9992,4,1
36970,16,4
10077,16,4
76649,5,3
293644,2,2
453,3,1
8587,2,1
72545,3,1
109451,2,1
9533,2,2
2023,3,2
71880,3,1
584,4,1
309809,6,1
4858,4,2
17711,4,2
328111,4,1
8698,5,4
93456,2,1
602,2,1
330,2,1
953,3,1
9693,3,2
36657,6,1
8909,9,2
9802,2,1
950,2,1
1824,4,1
2976,4,2
11026,2,1
332,3,1
75656,4,2
38365,3,1
594,3,1
15189,2,1
11678,2,3
6538,3,1
10555,3,1
1125,3,1
4551,4,1
612,7,3
9567,4,1
37821,3,1
203801,4,1
2539,2,1
9297,5,1
3172,7,1
6520,2,1
1439,1,2
37958,2,1
2026,7,2
7450,3,1
11375,2,1
9425,4,1
25769,4,1
23685,3,1
11866,4,1
9741,4,1
211672,2,1
23629,4,1
8688,4,2
10153,4,1
153518,5,2
8676,2,1
20829,6,1
4349,5,2
9718,2,1
10808,3,1
197,3,1
25,4,2
35,2,1
11086,4,1
10477,4,3
1997,5,2
6947,3,1
3050,3,1
2675,3,1
809,3,1
920,2,1
4806,4,1
7451,3,1
228165,6,1
3595,2,1
16869,5,2
879,2,1
1573,3,1
9257,5,1
1903,3,1
9697,3,1
395,11,5
23398,3,1
10590,3,2
117263,2,1
200,1,1
44943,3,1
587,4,1
10395,1,1
57212,4,1
152760,5,2
2756,3,1
33909,4,1
49017,5,1
9882,3,1
2270,5,3
978,4,1
44564,4,1
3132,3,1
8814,7,4
8427,1,1
52520,5,1
80585,4,1
10592,4,1
49021,9,2
11535,6,3
10550,6,2
11258,9,5
12610,3,1
59981,2,2
201088,3,1
5137,6,2
3093,4,3
107846,7,1
188207,1,1
4614,5,1
24021,5,1
11371,3,2
20352,2,1
11517,1,1
214756,5,1
26428,7,1
9824,3,1
48988,2,1
9008,5,1
300673,4,1
12113,3,2
38778,6,1
72331,5,1
1844,2,2
846,2,2
9703,4,4
857,5,1
136797,6,4
3981,4,1
425,3,1
6171,5,1
72976,7,2
603,4,2
568,2,1
9021,3,1
82695,4,2
9489,1,1
12133,5,1
9342,2,1
41733,3,1
227306,3,1
5551,6,1
9350,6,3
9208,3,1
4244,1,1
1852,4,1
11820,2,1
76493,1,1
345,4,2
196867,5,1
256591,3,1
59962,3,1
36648,6,1
1880,2,1
9440,2,5
71679,1,4
10483,6,3
11412,3,1
11983,2,1
6795,4,1
550,6,2
11170,4,1
9292,2,1
10783,2,2
100241,4,2
257,3,4
9947,8,2
189,7,1
12618,1,1
253412,6,3
1427,7,3
818,5,1
16577,4,3
329,2,1
12160,4,1
9331,2,1
300168,9,2
9072,2,1
3536,3,2
9087,2,1
12177,3,3
12138,3,1
273248,3,1
9955,1,1
50359,2,1
1271,7,1
693,4,1
14306,2,1
497,3,1
11199,2,1
9982,2,1
210577,6,1
2501,5,3
710,2,2
2275,4,2
37165,2,1
9837,2,1
10708,3,1
136400,4,1
10992,6,1
9654,2,2
2642,4,2
8916,3,1
19899,4,1
2119,2,1
9641,3,1
294254,3,1
38167,3,1
5994,1,1
39514,4,1
9563,3,1
547,2,1
1538,4,1
9334,4,3
11128,5,1
75780,4,1
8914,4,2
13576,1,1
39538,5,2
10628,3,2
14836,2,1
8645,5,3
9509,5,2
10067,3,1
9384,5,1
9279,2,1
1487,4,1
9422,3,1
77174,2,1
4824,9,1
9620,6,2
9302,2,1
10199,1,2
10771,3,1
3512,5,1
137094,6,2
274479,4,1
267860,4,3
8078,2,1
7485,3,1
170687,1,1
6435,5,1
137106,10,1
10040,3,1
6278,5,3
82682,4,1
17610,3,1
22954,6,1
16995,5,3
16558,4,2
9849,1,1
5820,8,1
16866,3,3
201,1,1
11775,4,1
87825,2,1
12201,4,2
11015,9,5
9932,6,2
13389,5,1
8838,2,1
17332,6,1
4958,5,1
786,3,1
9513,3,2
11679,3,1
38321,5,1
14411,1,1
8413,3,2
10052,6,2
9676,8,3
9664,4,2
2100,1,1
10384,4,2
137321,3,1
123553,4,1
11260,6,1
9009,4,1
11374,2,1
2309,2,3
8285,6,1
210860,4,1
2312,3,3
9839,5,2
381902,1,2
13922,2,1
293660,5,1
9713,2,1
190859,6,1
257445,7,2
9007,3,1
889,2,1
1370,2,1
4942,4,2
347969,1,1
24438,4,1
116741,5,1
35791,3,4
72431,3,1
1813,6,2
87428,3,1
8840,1,1
10589,3,1
71676,7,2
1722,2,3
10022,2,2
11358,6,1
13,1,1
6477,4,1
1597,4,1
10530,2,1
1924,3,2
9327,2,1
8488,2,1
10603,2,1
8273,4,1
109424,1,1
35056,3,1
8839,3,1
156022,6,1
7303,1,1
8963,2,1
1402,4,1
9315,2,1
8984,2,1
795,5,2
24,3,1
11353,1,1
393,3,1
9618,1,1
9374,1,1
8584,3,2
2320,2,1
58224,4,1
1729,4,2
175574,2,1
8077,2,2
8818,2,2
8195,2,3
10586,2,2
116149,9,1
80035,8,1
10632,2,1
12117,2,1
1792,2,1
13260,4,1
72197,3,1
3580,3,1
12123,3,1
9566,2,1
9833,4,2
4517,3,1
8202,6,1
16072,3,1
34314,2,1
19724,5,1
145220,2,1
14623,3,2
42297,1,1
2841,10,1
802,3,2
10375,1,1
36586,8,2
11321,4,1
70074,8,2
242,1,2
9621,4,1
1819,3,1
8536,3,2
8046,3,1
1717,5,1
479,2,2
9444,5,1
824,2,2
11456,1,1
261023,7,2
3683,4,1
22803,3,1
285923,8,1
39437,2,1
1950,5,1
640,3,1
97630,3,1
9767,3,1
11631,5,3
32856,3,1
6519,4,1
8741,3,2
49520,4,1
1850,1,1
524,4,2
26389,8,2
11817,1,1
2123,2,1
9907,3,2
9969,4,1
18239,5,1
808,3,1
38050,4,1
8367,2,1
9390,2,1
72105,3,1
2898,2,1
10312,4,1
109443,3,1
2022,4,1
37686,4,1
462,1,1
9919,1,2
187017,8,1
628,1,1
10201,4,1
302699,4,1
9441,2,1
274167,3,1
224141,3,1
388,3,1
2112,2,1
10329,2,1
74465,4,1
13811,6,3
6877,3,1
10320,3,1
50646,1,1
8920,3,1
13673,3,1
60308,2,1
6950,4,1
225574,7,3
13836,2,1
752,8,3
6038,5,2
9975,3,1
11451,2,1
12103,7,2
60304,6,2
2251,4,1
46529,4,1
231,6,1
300671,5,3
228326,4,2
9754,5,2
66,3,1
4421,6,1
2649,3,1
588,4,4
10393,1,1
71552,1,1
9631,2,2
216282,4,1
306,2,1
928,2,1
205587,4,1
6623,1,1
1577,2,5
9801,6,5
2116,3,1
9624,1,1
14199,1,1
1907,1,2
4599,3,1
22832,9,2
10390,2,1
9879,2,1
38579,1,1
44603,4,1
11892,3,1
9691,6,2
1248,7,4
12220,2,1
72710,4,1
10782,2,1
9573,2,1
4959,4,3
10061,2,1
10386,1,1
421,2,1
316152,3,1
11615,5,3
13498,2,1
241554,3,1
2252,9,3
11968,3,1
10047,2,1
38319,2,1
69668,2,2
9770,2,1
11212,1,1
10533,2,1
38363,2,2
9923,5,3
11863,1,1
18501,2,1
109491,4,1
