budget,id,original_title,popularity,revenue,runtime,vote_average,vote_count,genre_1,genre_2,genre_3,director,release_year,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,main_lead,is_male,is_female,,,,prod_comp_count,release_year,count,decade1,custom category,,,year,decadewise,custom category,,,,country_release_count
3.80E+08,1865,Pirates of the Caribbean: On Stranger Tides,135.413856,1045713802,136,6.4,4948,Adventure,Action,Fantasy,Rob Marshall,2011,0,0,1,0,0,0,0,0,Johnny Depp,1,0,,Crime,1,0.3,1916,1,1,1,,,1916,1,1,,1,97,0.1
3.00E+08,285,Pirates of the Caribbean: At World's End,139.082615,9.61E+08,169,6.9,4500,Adventure,Fantasy,Action,Gore Verbinski,2007,0,0,1,0,0,0,0,0,Johnny Depp,1,0,,Fantasy,1,0.3,1925,1,2,1,,,1920,2,1,,3,97,0.1
2.80E+08,99861,Avengers: Age of Ultron,134.279229,1405403694,141,7.3,6767,Action,Adventure,Science Fiction,Joss Whedon,2015,0,0,0,1,0,0,0,0,Robert Downey Jr.,1,0,,Romance,1,0.3,1927,1,2,1,,,1930,3,1,,13,97,0.1
2.70E+08,1452,Superman Returns,57.925623,391081192,154,5.4,1400,Adventure,Fantasy,Action,Bryan Singer,2006,0,0,1,0,0,0,0,0,Brandon Routh,1,0,,Thriller,1,0.4,1929,1,2,1,,,1940,4,1,,13,97,0.1
2.60E+08,49529,John Carter,43.926995,284139100,132,6.1,2124,Action,Adventure,Science Fiction,Andrew Stanton,2012,0,0,0,1,0,0,0,0,Taylor Kitsch,1,0,,,,0.1,1930,1,3,1,,,1950,5,1,,21,97,0.1
2.58E+08,559,Spider-Man 3,115.699814,890871626,139,5.9,3576,Fantasy,Action,Adventure,Sam Raimi,2007,0,0,0,0,0,1,0,0,Tobey Maguire,1,0,,,,0.3,1932,1,3,1,,,1960,6,1,,46,97,0.1
2.55E+08,57201,The Lone Ranger,49.046956,89289910,149,5.9,2311,Action,Adventure,Western,Gore Verbinski,2013,0,0,0,1,0,0,0,0,Johnny Depp,1,0,,,,0.6,1933,1,3,1,,,1970,7,2,,60,60,0.1
2.50E+08,271110,Captain America: Civil War,198.372395,1153304495,147,7.1,7241,Adventure,Action,Science Fiction,NA,2016,0,0,1,0,0,0,0,0,Chris Evans,1,0,,,,0.5,1934,1,3,1,,,1980,8,3,,149,149,0.1
2.50E+08,49026,The Dark Knight Rises,112.31295,1084939099,165,7.6,9106,Action,Crime,Drama,Christopher Nolan,2012,0,0,0,1,0,0,0,0,Christian Bale,1,0,,,,0.4,1935,1,3,1,,,1990,9,4,,475,475,0.1
2.50E+08,49051,The Hobbit: An Unexpected Journey,108.849621,1021103568,169,7,8297,Adventure,Fantasy,Action,Peter Jackson,2012,0,0,1,0,0,0,0,0,Ian McKellen,1,0,,,,0.4,1936,2,3,1,,,2000,10,5,,1128,1128,0.2
2.50E+08,57158,The Hobbit: The Desolation of Smaug,94.370564,958400000,161,7.6,4524,Adventure,Fantasy,NA,Peter Jackson,2013,0,0,1,0,0,0,0,0,Martin Freeman,1,0,,,,0.4,1937,1,3,1,,,2010,11,6,,769,769,0.2
2.50E+08,122917,The Hobbit: The Battle of the Five Armies,120.965743,956019788,144,7.1,4760,Action,Adventure,Fantasy,Peter Jackson,2014,0,0,0,1,0,0,0,0,Martin Freeman,1,0,,,,0.5,1938,2,3,1,,,2020,12,7,,0,0,0.2
2.50E+08,767,Harry Potter and the Half-Blood Prince,98.885637,933959197,153,7.4,5293,Adventure,Fantasy,Family,David Yates,2009,0,0,1,0,0,0,0,0,Daniel Radcliffe,1,0,,,,0.2,1939,3,3,1,,,,,,,,,0.2
