id,name,is_Male,is_Female
19995,Sam Worthington,1,0
285,Johnny Depp,1,0
206647,Daniel Craig,1,0
49026,Christian Bale,1,0
49529,Taylor Kitsch,1,0
559,Tobey Maguire,1,0
38757,Zachary Levi,1,0
99861,Robert Downey Jr.,1,0
767,Daniel Radcliffe,1,0
209112,Ben Affleck,1,0
1452,Brandon Routh,1,0
10764,Daniel Craig,1,0
58,Johnny Depp,1,0
57201,Johnny Depp,1,0
49521,Henry Cavill,1,0
2454,Ben Barnes,1,0
24428,Robert Downey Jr.,1,0
1865,Johnny Depp,1,0
41154,Will Smith,1,0
122917,Martin Freeman,1,0
1930,Andrew Garfield,1,0
20662,Russell Crowe,1,0
57158,Martin Freeman,1,0
2268,Dakota Blue Richards,0,1
254,Naomi Watts,0,1
597,Kate Winslet,0,1
271110,Chris Evans,1,0
44833,Taylor Kitsch,1,0
135397,Chris Pratt,1,0
37724,Daniel Craig,1,0
558,Tobey Maguire,1,0
68721,Robert Downey Jr.,1,0
12155,Mia Wasikowska,0,1
36668,Hugh Jackman,1,0
62211,Billy Crystal,1,0
8373,Shia LaBeouf,1,0
91314,Mark Wahlberg,1,0
68728,James Franco,1,0
102382,Andrew Garfield,1,0
20526,Garrett Hedlund,1,0
49013,Owen Wilson,1,0
44912,Ryan Reynolds,1,0
10193,Tom Hanks,1,0
534,Christian Bale,1,0
168259,Vin Diesel,1,0
72190,Brad Pitt,1,0
127585,Hugh Jackman,1,0
54138,Chris Pine,1,0
81005,Nicholas Hoult,1,0
64682,Leonardo DiCaprio,1,0
9543,Jake Gyllenhaal,1,0
68726,Idris Elba,1,0
38356,Shia LaBeouf,1,0
217,Harrison Ford,1,0
105864,Raymond Ochoa,0,0
62177,Kelly Macdonald,0,1
188927,Chris Pine,1,0
10681,Ben Burtt,1,0
5174,Chris Tucker,1,0
14161,John Cusack,1,0
17979,Gary Oldman,1,0
76757,Mila Kunis,0,1
258489,Alexander Skarsgård,1,0
411,William Moseley,1,0
246655,James McAvoy,1,0
155,Christian Bale,1,0
14160,Ed Asner,1,0
15512,Seth Rogen,1,0
1726,Robert Downey Jr.,1,0
44826,Ben Kingsley,1,0
8487,Will Smith,1,0
1735,Brendan Fraser,1,0
297761,Will Smith,1,0
2698,Steve Carell,1,0
137113,Tom Cruise,1,0
9804,Kevin Costner,1,0
14869,Dennis Quaid,1,0
150540,Amy Poehler,0,1
278927,Neel Sethi,1,0
10138,Robert Downey Jr.,1,0
58595,Kristen Stewart,0,1
102651,Angelina Jolie,0,1
119450,Andy Serkis,1,0
79698,Josh Hartnett,1,0
64686,Keanu Reeves,1,0
100402,Chris Evans,1,0
10192,Mike Myers,1,0
158852,Britt Robertson,0,1
177572,Scott Adsit,1,0
82690,John C. Reilly,1,0
5255,Tom Hanks,1,0
47933,Liam Hemsworth,1,0
10191,Jay Baruchel,1,0
296,Arnold Schwarzenegger,1,0
118340,Chris Pratt,1,0
157336,Matthew McConaughey,1,0
27205,Leonardo DiCaprio,1,0
315011,Hiroki Hasegawa,1,0
49051,Ian McKellen,1,0
9799,Paul Walker,1,0
4922,Cate Blanchett,0,1
49538,James McAvoy,1,0
131634,Jennifer Lawrence,0,1
27022,Nicolas Cage,1,0
503,Kurt Russell,1,0
241259,Johnny Depp,1,0
810,Mike Myers,1,0
68735,Paula Patton,0,1
87101,Arnold Schwarzenegger,1,0
10140,Skandar Keynes,1,0
676,Ben Affleck,1,0
1858,Shia LaBeouf,1,0
1966,Colin Farrell,1,0
675,Daniel Radcliffe,1,0
674,Daniel Radcliffe,1,0
8960,Will Smith,1,0
6479,Will Smith,1,0
118,Johnny Depp,1,0
2062,Patton Oswalt,1,0
272,Christian Bale,1,0
10527,Ben Stiller,1,0
18360,Ben Stiller,1,0
2080,Hugh Jackman,1,0
605,Keanu Reeves,1,0
109445,Kristen Bell,0,1
604,Keanu Reeves,1,0
76338,Chris Hemsworth,1,0
76341,Tom Hardy,1,0
13448,Tom Hanks,1,0
10195,Chris Hemsworth,1,0
13053,John Travolta,1,0
19585,Sam Rockwell,1,0
57165,Sam Worthington,1,0
62213,Johnny Depp,1,0
177677,Tom Cruise,1,0
7978,Benicio del Toro,1,0
5559,Jerry Seinfeld,1,0
49444,Jack Black,1,0
10196,Noah Ringer,1,0
956,Tom Cruise,1,0
117251,Channing Tatum,1,0
50321,Seth Green,1,0
11619,Hugh Jackman,1,0
266647,Levi Miller,1,0
82703,Ty Burrell,1,0
652,Brad Pitt,1,0
80321,Ben Stiller,1,0
36669,Pierce Brosnan,1,0
43074,Melissa McCarthy,0,1
95,Bruce Willis,1,0
608,Tommy Lee Jones,1,0
2310,Ray Winstone,1,0
140300,Jack Black,1,0
56292,Tom Cruise,1,0
81188,Chris Pine,1,0
7552,Jim Carrey,1,0
616,Tom Cruise,1,0
147441,Christian Bale,1,0
13475,Chris Pine,1,0
557,Tobey Maguire,1,0
82702,Jay Baruchel,1,0
205584,Brenton Thwaites,1,0
10048,Josh Lucas,0,1
13183,Malin Åkerman,0,1
944,Mel Gibson,1,0
1927,Eric Bana,1,0
72559,Dwayne Johnson,1,0
7364,Matthew McConaughey,1,0
2114,Donald Sutherland,1,0
1771,Chris Evans,1,0
36643,Pierce Brosnan,1,0
8619,Russell Crowe,1,0
50620,Kristen Stewart,0,1
65759,Elijah Wood,1,0
1724,Edward Norton,1,0
267935,Ruby Barnhill,0,1
281957,Leonardo DiCaprio,1,0
77950,Ryan Reynolds,1,0
44896,Johnny Depp,1,0
270946,Tom McGrath,1,0
2503,Matt Damon,1,0
9502,Jack Black,1,0
102899,Paul Rudd,1,0
101299,Jennifer Lawrence,0,1
228161,Jim Parsons,1,0
74,Tom Cruise,1,0
8961,Martin Lawrence,1,0
417859,Antonio Banderas,1,0
27576,Angelina Jolie,0,1
86834,Russell Crowe,1,0
17578,Jamie Bell,1,0
673,Daniel Radcliffe,1,0
6972,Nicole Kidman,0,1
82700,Jaden Smith,1,0
10567,D. B. Sweeney,1,0
181533,Ben Stiller,1,0
38055,Will Ferrell,1,0
671,Daniel Radcliffe,1,0
49524,Jeff Bridges,1,0
22,Johnny Depp,1,0
131631,Jennifer Lawrence,0,1
591,Tom Hanks,1,0
172385,Jesse Eisenberg,1,0
36658,Patrick Stewart,1,0
51497,Vin Diesel,1,0
58574,Robert Downey Jr.,1,0
18823,Sam Worthington,1,0
861,Arnold Schwarzenegger,1,0
1911,Antonio Banderas,1,0
49040,Jeremy Renner,1,0
415,George Clooney,1,0
8871,Jim Carrey,1,0
435,Dennis Quaid,1,0
955,Tom Cruise,1,0
2133,George Clooney,1,0
1979,Ioan Gruffudd,1,0
87827,Suraj Sharma,1,0
1250,Nicolas Cage,1,0
324668,Matt Damon,1,0
9471,Cameron Diaz,0,1
70981,Noomi Rapace,0,1
10996,Michael J. Fox,1,0
68724,Matt Damon,1,0
2789,Vin Diesel,1,0
97020,Joel Kinnaman,1,0
7459,Emile Hirsch,1,0
42888,Reese Witherspoon,0,1
37834,Tom Cruise,1,0
75612,Tom Cruise,1,0
1895,Ewan McGregor,1,0
1894,Ewan McGregor,1,0
585,John Goodman,1,0
76170,Hugh Jackman,1,0
1893,Liam Neeson,1,0
49519,Nicolas Cage,1,0
2395,Clovis Cornillac,1,0
12100,Nicolas Cage,1,0
290595,Chris Hemsworth,1,0
98566,Megan Fox,0,1
49047,Sandra Bullock,0,1
9619,Pierce Brosnan,1,0
308531,Megan Fox,0,1
166424,Miles Teller,1,0
1593,Ben Stiller,1,0
254128,Dwayne Johnson,1,0
714,Pierce Brosnan,1,0
2024,Mel Gibson,1,0
163,George Clooney,1,0
787,Angelina Jolie,0,1
262500,Shailene Woodley,0,1
2567,Leonardo DiCaprio,1,0
38745,Jack Black,1,0
40805,Seth Rogen,1,0
53182,Sullivan Stapleton,1,0
41513,Hank Azaria,1,0
13700,Roseanne Barr,0,1
262504,Shailene Woodley,0,1
39254,Hugh Jackman,1,0
77931,Hank Azaria,1,0
1639,Sandra Bullock,0,1
80274,Asa Butterfield,1,0
1571,Bruce Willis,1,0
120,Elijah Wood,1,0
10204,Jackie Chan,1,0
8489,Will Smith,1,0
10588,Mike Myers,1,0
2048,Will Smith,1,0
1495,Orlando Bloom,1,0
10137,Michael J. Fox,1,0
10198,Anika Noni Rose,0,1
286217,Matt Damon,1,0
1635,Ewan McGregor,1,0
24113,Warren Beatty,1,0
9679,Nicolas Cage,1,0
98,Russell Crowe,1,0
180,Tom Cruise,1,0
672,Daniel Radcliffe,1,0
36557,Daniel Craig,1,0
869,Mark Wahlberg,1,0
280,Arnold Schwarzenegger,1,0
11322,Christian Bale,1,0
4982,Denzel Washington,1,0
36955,Arnold Schwarzenegger,1,0
18487,Denzel Washington,1,0
39451,Robert De Niro,1,0
27581,Will Ferrell,1,0
9268,Arnold Schwarzenegger,1,0
68718,Jamie Foxx,1,0
10545,Tom Hulce,1,0
11688,David Spade,1,0
76163,Sylvester Stallone,1,0
2059,Nicolas Cage,1,0
2486,Ed Speleers,1,0
16523,Max Records,0,0
116711,Josh Hutcherson,1,0
37710,Johnny Depp,1,0
9946,Arnold Schwarzenegger,1,0
1372,Leonardo DiCaprio,1,0
106646,Leonardo DiCaprio,1,0
414,Val Kilmer,1,0
563,Casper Van Dien,1,0
83542,Tom Hanks,1,0
41216,Emily Barclay,0,1
314,Halle Berry,0,1
184315,Dwayne Johnson,1,0
9016,Joseph Gordon-Levitt,1,0
18162,Will Ferrell,1,0
138103,Sylvester Stallone,1,0
257088,Edgar Ramírez,1,0
10214,Jamie Kennedy,0,0
205775,Chris Hemsworth,1,0
11692,Eddie Murphy,1,0
22972,Matt Damon,1,0
227973,Noah Schnapp,1,0
29193,Steve Martin,1,0
1734,Brendan Fraser,1,0
3131,Leonardo DiCaprio,1,0
76758,Christian Bale,1,0
9408,Shia LaBeouf,1,0
9890,Nicole Kidman,0,1
855,Josh Hartnett,1,0
77953,Will Ferrell,1,0
18,Bruce Willis,1,0
37786,Sarah Jessica Parker,0,1
10501,Kenneth Branagh,1,0
57800,John Leguizamo,1,0
150689,Lily James,0,1
7980,Rachel Weisz,0,1
12,Albert Brooks,1,0
122,Elijah Wood,1,0
121,Elijah Wood,1,0
68737,Jeff Bridges,1,0
1995,Angelina Jolie,0,1
157353,Johnny Depp,1,0
331,Sam Neill,1,0
61791,James Franco,1,0
8204,Freddie Highmore,1,0
47964,Bruce Willis,1,0
10733,Dennis Quaid,1,0
9806,Craig T. Nelson,1,0
1408,Geena Davis,0,1
32657,Logan Lerman,1,0
607,Tommy Lee Jones,1,0
863,Tom Hanks,1,0
44048,Denzel Washington,1,0
5175,Chris Tucker,1,0
2655,Harrison Ford,1,0
22794,Bill Hader,1,0
8355,Ray Romano,1,0
116745,Ben Stiller,1,0
4327,Cameron Diaz,0,1
1422,Leonardo DiCaprio,1,0
10674,Eddie Murphy,1,0
7446,Ben Stiller,1,0
65754,Daniel Craig,1,0
1572,Bruce Willis,1,0
10528,Robert Downey Jr.,1,0
271969,Jack Huston,1,0
10865,Michael J. Fox,1,0
258509,Jason Lee,1,0
2253,Tom Cruise,1,0
10661,Adam Sandler,1,0
257344,Adam Sandler,1,0
644,Haley Joel Osment,1,0
10756,Eddie Murphy,1,0
686,Jodie Foster,0,1
9383,Kevin Bacon,1,0
179,Nicole Kidman,0,1
76285,Logan Lerman,1,0
1996,Angelina Jolie,0,1
291805,Jesse Eisenberg,1,0
10003,Val Kilmer,1,0
1535,Robert Redford,1,0
2067,Gary Sinise,1,0
46195,Jesse Eisenberg,1,0
2277,Robin Williams,1,0
10357,Tommy Lee Jones,1,0
4477,Harrison Ford,1,0
8665,Harrison Ford,1,0
9387,Arnold Schwarzenegger,1,0
921,Russell Crowe,1,0
49852,Elle Fanning,0,1
4464,Jeff Bridges,1,0
664,Helen Hunt,0,1
8358,Tom Hanks,1,0
9836,Elijah Wood,1,0
2502,Matt Damon,1,0
9772,Harrison Ford,1,0
161,George Clooney,1,0
52451,Milla Jovovich,0,1
76492,Adam Sandler,1,0
4523,Amy Adams,0,1
59961,Denzel Washington,1,0
10481,Glenn Close,0,1
59108,Ben Stiller,1,0
1581,Cameron Diaz,0,1
9798,Will Smith,1,0
22897,Meryl Streep,0,1
298,George Clooney,1,0
7484,Martin Lawrence,1,0
157350,Shailene Woodley,0,1
853,Jude Law,1,0
10159,Dwayne Johnson,1,0
9593,Arnold Schwarzenegger,1,0
1904,Zhang Ziyi,0,1
9615,Lucas Black,1,0
51052,James McAvoy,1,0
297,Brad Pitt,1,0
9884,Arnold Schwarzenegger,1,0
16858,Roy Scheider,1,0
62764,Julia Roberts,0,1
22538,Michael Cera,1,0
9341,Aaron Eckhart,1,0
12107,Eddie Murphy,1,0
9637,Freddie Prinze Jr.,1,0
49049,Karl Urban,1,0
9339,Adam Sandler,1,0
16281,Hal Holbrook,1,0
39691,James Marsden,1,0
8247,Hayden Christensen,1,0
11253,Ron Perlman,1,0
1949,Jake Gyllenhaal,1,0
8452,Arnold Schwarzenegger,1,0
310,Jim Carrey,1,0
27578,Sylvester Stallone,1,0
954,Tom Cruise,1,0
70160,Jennifer Lawrence,0,1
45243,Bradley Cooper,1,0
364,Michael Keaton,1,0
7518,Bruce Willis,1,0
11544,Chris Sanders,1,0
9986,Julia Roberts,0,1
8656,Robert Duvall,1,0
146216,Bruce Willis,1,0
9291,Adam Sandler,1,0
55301,Jason Lee,1,0
109418,Adam Sandler,1,0
11665,Steve Carell,1,0
6964,Jack Nicholson,1,0
11324,Leonardo DiCaprio,1,0
12193,Vince Vaughn,1,0
9928,Robin Williams,1,0
754,John Travolta,1,0
10202,Adam Sandler,1,0
4147,Tom Hanks,1,0
50546,Adam Sandler,1,0
1701,Nicolas Cage,1,0
13027,Shia LaBeouf,1,0
2289,Jude Law,1,0
20504,Denzel Washington,1,0
9574,Robin Williams,1,0
11618,Liam Neeson,1,0
2300,Michael Jordan,1,0
12096,Steve Martin,1,0
10200,Keanu Reeves,1,0
8834,Mel Gibson,1,0
228150,Brad Pitt,1,0
6068,Harrison Ford,1,0
41515,Dan Aykroyd,1,0
9023,Matt Damon,1,0
38317,Kevin James,1,0
2157,Gary Oldman,1,0
14462,Denzel Washington,1,0
161795,Stephen Dillane,1,0
159824,Adam Sandler,1,0
49948,Steve Martin,1,0
2135,Guy Pearce,1,0
9822,Charlize Theron,0,1
9705,John Travolta,1,0
1656,Antonio Banderas,1,0
12159,Robin Williams,1,0
9678,Adam Sandler,1,0
4442,Heath Ledger,1,0
75,Jack Nicholson,1,0
330770,Max Brebant,0,0
9433,Alec Baldwin,1,0
19959,Bruce Willis,1,0
11973,Kevin Costner,1,0
11228,Sylvester Stallone,1,0
77951,Charlie Rowe,1,0
5491,John Travolta,1,0
10715,Brendan Fraser,1,0
10197,Judi Dench,0,1
9562,Paul Walker,1,0
9922,Kevin Costner,1,0
9447,James Cromwell,1,0
274854,Vin Diesel,1,0
8870,Val Kilmer,1,0
9992,Freddie Highmore,1,0
36970,Pierce Brosnan,1,0
10077,Heike Makatsch,0,1
76649,Kit Harington,1,0
293644,Jason Harris,0,0
453,Russell Crowe,1,0
8587,Jonathan Taylor Thomas,1,0
72545,Dwayne Johnson,1,0
109451,Bill Hader,1,0
9533,Anthony Hopkins,1,0
2023,Viggo Mortensen,1,0
71880,Adam Sandler,1,0
584,Paul Walker,1,0
309809,Jeff Bridges,1,0
4858,Nicole Kidman,0,1
17711,Rene Russo,0,1
328111,Louis C.K.,1,0
8698,Sean Connery,1,0
93456,Steve Carell,1,0
602,Will Smith,1,0
330,Jeff Goldblum,1,0
953,Ben Stiller,1,0
9693,Clive Owen,1,0
36657,Patrick Stewart,1,0
8909,Angelina Jolie,0,1
9802,Sean Connery,1,0
950,Ray Romano,1,0
1824,Adam Sandler,1,0
2976,John Travolta,1,0
11026,Stellan Skarsgård,1,0
