revenue,popularity,runtime,budget,vote_average,prod_comp_count,country_release_count,Drama,Comedy,Adventure,Action,Crime,Fantasy,Romance,Thriller,is_male,is_female,main_lead,id,original_title,genre_1,genre_2,genre_3,director,release_year,vote_count,,,,,,,,,,,,,,
1045713802,135.413856,136,3.80E+08,6.4,0.3,0.1,0,0,1,0,0,0,0,0,1,0,Johnny Depp,1865,Pirates of the Caribbean: On Stranger Tides,Adventure,Action,Fantasy,Rob Marshall,2011,4948,,,,,,,,,,,,,,
9.61E+08,139.082615,169,3.00E+08,6.9,0.3,0.1,0,0,1,0,0,0,0,0,1,0,Johnny Depp,285,Pirates of the Caribbean: At World's End,Adventure,Fantasy,Action,Gore Verbinski,2007,4500,,,,,,,,,,,,,,
1405403694,134.279229,141,2.80E+08,7.3,0.3,0.1,0,0,0,1,0,0,0,0,1,0,Robert Downey Jr.,99861,Avengers: Age of Ultron,Action,Adventure,Science Fiction,Joss Whedon,2015,6767,,,,,,,,,,,,,,
391081192,57.925623,154,2.70E+08,5.4,0.4,0.1,0,0,1,0,0,0,0,0,1,0,Brandon Routh,1452,Superman Returns,Adventure,Fantasy,Action,Bryan Singer,2006,1400,,,,,,,,,,,,,,
284139100,43.926995,132,2.60E+08,6.1,0.1,0.1,0,0,0,1,0,0,0,0,1,0,Taylor Kitsch,49529,John Carter,Action,Adventure,Science Fiction,Andrew Stanton,2012,2124,,,,,,,,,,,,,,
890871626,115.699814,139,2.58E+08,5.9,0.3,0.1,0,0,0,0,0,1,0,0,1,0,Tobey Maguire,559,Spider-Man 3,Fantasy,Action,Adventure,Sam Raimi,2007,3576,,,,,,,,,,,,,,
89289910,49.046956,149,2.55E+08,5.9,0.6,0.1,0,0,0,1,0,0,0,0,1,0,Johnny Depp,57201,The Lone Ranger,Action,Adventure,Western,Gore Verbinski,2013,2311,,,,,,,,,,,,,,
1153304495,198.372395,147,2.50E+08,7.1,0.5,0.1,0,0,1,0,0,0,0,0,1,0,Chris Evans,271110,Captain America: Civil War,Adventure,Action,Science Fiction,NA,2016,7241,,,,,,,,,,,,,,
1084939099,112.31295,165,2.50E+08,7.6,0.4,0.1,0,0,0,1,0,0,0,0,1,0,Christian Bale,49026,The Dark Knight Rises,Action,Crime,Drama,Christopher Nolan,2012,9106,,,,,,,,,,,,,,
1021103568,108.849621,169,2.50E+08,7,0.4,0.2,0,0,1,0,0,0,0,0,1,0,Ian McKellen,49051,The Hobbit: An Unexpected Journey,Adventure,Fantasy,Action,Peter Jackson,2012,8297,,,,,,,,,,,,,,
